Hola,Númer sýnis,Hiti °C,Ohmm,pH/°C,SiO2,Na,K,Ca,Mg,CO2,SO4,H2S,Cl,F,Uppl. efni
H-10,690145,70,,"9,92/23",74,51,"1,1",3,"0,03","16,5",37,"0,4","19,7","1,4",232
H-10,793039,,40,"9,76/23","80,5","53,2","0,9","2,9","0,02",14,42,"0,4","20,7","1,55",226
H-9,840126,,"35,7",,"73,2","57,8","0,9","3,4",0,,44,"0,4","21,9","1,39","244,3"
H-10,840125,,"35,7",,"73,4","58,7",1,"3,3",0,,"44,1","0,4","21,8","1,43","235,5"
H-11,840123,,"36,4",,"69,3","57,6",1,"3,3","0,01",,"43,2","0,4","21,3","1,43","231,9"
H-12,840124,,"34,5",,"66,9","57,9","1,1","3,5",0,,"46,2","0,3","23,5","1,47",241
H-13,840122,,"38,5",,"68,1","54,4","1,3","3,1","0,01",,"39,2","0,3","19,6","1,49","224,7"
H-9,840247,,"37,3",,"75,6",57,"0,9","3,3",0,,"43,3",,"21,6","1,44","229,5"
H-10,840246,,"38,5",,72,"56,2","0,9","3,3",0,,"42,4",,"21,3","1,47","228,5"
H-11,840245,,40,,"69,6","53,9",1,"3,3",0,,"41,2",,"20,7","1,5",220
H-12,840244,,"37,7",,"70,4","56,5",1,"3,5",0,,"44,8",,"22,6","1,49",226
H-13,840243,,"41,7",,"69,6","52,7",1,"3,1",0,,"38,7",,19,"1,54",214
H-9,850103,"70,4","32,3","9,96/20","76,2","58,6",1,"3,4",0,"13,8",46,"0,4","23,1","1,48","242,3"
H-10,850102,70,"33,7","9,98/20","73,7","55,5",1,"3,2","0,01","14,3","42,7","0,4",21,"1,51","225,7"
H-11,850100,"70,6","34,5","9,98/20","70,4","54,7","0,9","3,3",0,"13,9","41,4","0,4","20,3","1,53","218,6"
H-12,850101,71,"33,3","9,97/20","71,6","56,9",1,"3,4",0,"14,8","44,1","0,3",22,"1,51","226,5"
H-13,850099,"69,1","36,2","9,99/20","70,3","52,9","0,9","3,2",0,"14,7","38,2","0,4","18,3","1,57","211,9"
