Sample, Th-1, Th-3, Th-4, Th-5, Th-6, Th-7, Th-8, Th-10, Th-11, Th-12, Th-13, Th-14, Th-15, Th-16, Th-17, Th-18, Th-19, Th-20
SiO2, 50.20, 50.32, 50.25, 50.30, 50.01, 50.78, 50.50, 50.89, 50.28, 50.57, 50.47, 50.36, 50.37, 50.44, 50.57, 50.23, 50.65
Al2O3, 13.23, 13.40, 13.29, 13.28, 13.30, 12.50, 13.10, 13.43, 12.59, 13.40, 12.81, 12.69, 12.92, 13.18, 13.40, 13.24, 13.04, 12.56
FeO, 13.92, 12.97, 13.21, 13.13, 13.86, 13.77, 13.16, 13.17, 13.61, 13.46, 13.70, 13.52, 13.23, 13.75, 13.57, 13.50, 13.97, 14.17
MnO, 0.23, 0.22, 0.22, 0.22, 0.23, 0.23, 0.22, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.23, 0.22, 0.23, 0.24
MgO, 5.96, 6.53, 6.46, 6.58, 6.19, 6.18, 6.50, 6.34, 6.13, 6.19, 6.33, 6.54, 6.64, 5.94, 5.98, 6.08, 6.06, 5.95
CaO, 10.74, 11.34, 11.24, 11.32, 10.69, 10.83, 11.19, 11.18, 11.03, 10.83, 10.95, 11.08, 11.29, 10.81, 10.69, 10.77, 10.78, 10.54
Na2O, 2.46, 2.29, 2.32, 2.27, 2.41, 2.44, 2.35, 2.33, 2.38, 2.43, 2.38, 2.38, 2.33, 2.46, 2.44, 2.40, 2.44, 2.54
K2O, 0.35, 0.31, 0.32, 0.30, 0.35, 0.36, 0.32, 0.33, 0.35, 0.35, 0.34, 0.32, 0.32, 0.37, 0.36, 0.36, 0.36, 0.37
TiO2, 2.38, 2.13, 2.19, 2.12, 2.43, 2.38, 2.16, 2.23, 2.28, 2.32, 2.21, 2.25, 2.19, 2.37, 2.37, 2.35, 2.35, 2.44
P2O5, 0.39, 0.35, 0.36, 0.35, 0.39, 0.38, 0.36, 0.37, 0.37, 0.38, 0.34, 0.37, 0.36, 0.39, 0.38, 0.38, 0.38, 0.40
